sample_id,label,source_sample_id,dataset
GSE1297__GSM21203,positive,GSM21203,GSE1297
GSE1297__GSM21204,positive,GSM21204,GSE1297
GSE1297__GSM21205,positive,GSM21205,GSE1297
GSE1297__GSM21206,positive,GSM21206,GSE1297
GSE1297__GSM21207,positive,GSM21207,GSE1297
GSE1297__GSM21208,positive,GSM21208,GSE1297
GSE1297__GSM21209,positive,GSM21209,GSE1297
GSE1297__GSM21210,positive,GSM21210,GSE1297
GSE1297__GSM21211,positive,GSM21211,GSE1297
GSE1297__GSM21212,positive,GSM21212,GSE1297
GSE1297__GSM21213,positive,GSM21213,GSE1297
GSE1297__GSM21214,positive,GSM21214,GSE1297
GSE1297__GSM21215,control,GSM21215,GSE1297
GSE1297__GSM21216,positive,GSM21216,GSE1297
GSE1297__GSM21217,control,GSM21217,GSE1297
GSE1297__GSM21218,control,GSM21218,GSE1297
GSE1297__GSM21219,control,GSM21219,GSE1297
GSE1297__GSM21220,control,GSM21220,GSE1297
GSE1297__GSM21221,control,GSM21221,GSE1297
GSE1297__GSM21222,positive,GSM21222,GSE1297
GSE1297__GSM21223,positive,GSM21223,GSE1297
GSE1297__GSM21224,positive,GSM21224,GSE1297
GSE1297__GSM21225,positive,GSM21225,GSE1297
GSE1297__GSM21226,control,GSM21226,GSE1297
GSE1297__GSM21227,positive,GSM21227,GSE1297
GSE1297__GSM21228,positive,GSM21228,GSE1297
GSE1297__GSM21229,positive,GSM21229,GSE1297
GSE1297__GSM21230,positive,GSM21230,GSE1297
GSE1297__GSM21231,control,GSM21231,GSE1297
GSE1297__GSM21232,control,GSM21232,GSE1297
GSE1297__GSM21233,positive,GSM21233,GSE1297
GSE33000__GSM1423780,positive,GSM1423780,GSE33000
GSE33000__GSM1423781,positive,GSM1423781,GSE33000
GSE33000__GSM1423782,positive,GSM1423782,GSE33000
GSE33000__GSM1423783,positive,GSM1423783,GSE33000
GSE33000__GSM1423784,positive,GSM1423784,GSE33000
GSE33000__GSM1423785,positive,GSM1423785,GSE33000
GSE33000__GSM1423786,positive,GSM1423786,GSE33000
GSE33000__GSM1423787,positive,GSM1423787,GSE33000
GSE33000__GSM1423788,positive,GSM1423788,GSE33000
GSE33000__GSM1423789,positive,GSM1423789,GSE33000
GSE33000__GSM1423790,positive,GSM1423790,GSE33000
GSE33000__GSM1423791,positive,GSM1423791,GSE33000
GSE33000__GSM1423792,positive,GSM1423792,GSE33000
GSE33000__GSM1423793,positive,GSM1423793,GSE33000
GSE33000__GSM1423794,positive,GSM1423794,GSE33000
GSE33000__GSM1423795,positive,GSM1423795,GSE33000
GSE33000__GSM1423796,positive,GSM1423796,GSE33000
GSE33000__GSM1423797,positive,GSM1423797,GSE33000
GSE33000__GSM1423798,positive,GSM1423798,GSE33000
GSE33000__GSM1423799,positive,GSM1423799,GSE33000
GSE33000__GSM1423800,positive,GSM1423800,GSE33000
GSE33000__GSM1423801,positive,GSM1423801,GSE33000
GSE33000__GSM1423802,positive,GSM1423802,GSE33000
GSE33000__GSM1423803,positive,GSM1423803,GSE33000
GSE33000__GSM1423804,positive,GSM1423804,GSE33000
GSE33000__GSM1423805,positive,GSM1423805,GSE33000
GSE33000__GSM1423806,positive,GSM1423806,GSE33000
GSE33000__GSM1423807,positive,GSM1423807,GSE33000
