gene,selection_frequency_topk,mean_bootstrap_score
GFAP,0.95,0.795077650090174
ITPKB,0.925,0.8185155569187217
SLC35B1,0.8,0.7477699323414215
NRN1,0.775,0.7394156324236749
MLLT11,0.75,0.7325929946914677
PPP1R7,0.7,0.6949238993452114
KCNF1,0.675,0.7215464903803654
EGR1,0.65,0.7072013116243621
CA10,0.625,0.7112470829756637
CD200,0.625,0.7074449947082014
NEUROD6,0.55,0.6941938450601625
MAFF,0.525,0.6705343743126934
NCALD,0.5,0.6848522177306997
CRYM,0.5,0.6772133458755017
VGF,0.5,0.6563975028701148
PPEF1,0.425,0.6781288714122664
PTPRN2,0.425,0.6727726319071505
SAFB2,0.425,0.6603647395515088
ATP5C1,0.4,0.6643361045875454
PRKCZ,0.4,0.6631936111335693
SST,0.375,0.6661397835005294
LSM4,0.35,0.6409965291799106
NRXN3,0.325,0.6570789068682187
LANCL2,0.325,0.6450307423377211
KLF15,0.3,0.6413956288780793
DUSP4,0.3,0.6328970016151764
CCKBR,0.275,0.6401596164947524
ZFP36L1,0.25,0.6491770146966588
AFF1,0.25,0.64288077834315
MAST3,0.125,0.5997750027119884
