gene,t_stat,p_value,fdr,cohens_d,mean_ad,mean_control,abs_t_stat,abs_effect_size,mi_score,xgb_gain,elastic_net_coef,mrmr_score,stability_freq,vote_score,vote_count,quality_score
ITPKB,23.560602677193,1.9004483855482868e-88,1.896837533615745e-84,1.76087069466277,0.5193538165420296,-0.8179370211742112,23.560602677193,1.76087069466277,0.2706068698378503,22.718395233154297,0.1631594014587496,0.2706068698378503,1.0,0.9293458829816387,7,0.9682056461210483
NRN1,-22.8847562066388,1.1543257370846468e-86,5.76066259092093e-83,-1.654403484888652,-0.5005799650770014,0.788369840469703,22.8847562066388,1.654403484888652,0.25629573414086093,30.051645278930664,0.0,0.0,0.82,0.5403629206341358,4,0.7753336590834045
PPP1R7,-20.60358088482478,4.664447581305134e-72,4.655585130900653e-69,-1.5522478410483205,-0.4811710280872067,0.7578024553847297,20.60358088482478,1.5522478410483205,0.24204620062010918,94.23357391357422,0.0,0.0,0.94,0.5883307911023596,5,0.7659520244342991
NEUROD6,-20.734461978999864,4.547968773332832e-72,4.655585130900653e-69,-1.581933300412283,-0.4869568451255363,0.7669146132290668,20.734461978999864,1.581933300412283,0.2484155893753095,148.83575439453125,0.0,-0.3635121777687986,0.7,0.5715235585500694,5,0.7628714659294871
PPEF1,-20.893716418466457,3.094925956375242e-72,4.287580382068653e-69,-1.6122995063983234,-0.4927508199653614,0.7760396189001544,20.893716418466457,1.6122995063983234,0.2294054282985165,63.457088470458984,0.0,0.0,0.8,0.5391150236874123,4,0.7530884948596863
DUSP4,-16.99084126092167,1.4401863546843285e-50,4.9227739746932475e-49,-1.3887078825432386,-0.447053224852225,0.7040698872237156,16.99084126092167,1.3887078825432386,0.22219829161250693,10.028419494628906,0.027033979892871613,-0.2501890721289269,0.96,0.6311703070011885,6,0.7359872763884547
GFAP,19.53392905621797,3.030171842450664e-65,8.641184331285737e-63,1.5089492829561035,0.47251213840899564,-0.7441654584002373,19.53392905621797,1.5089492829561035,0.21391976446001082,4.681533336639404,0.2404532660575315,-0.33223526851340435,1.0,0.5511772093762165,5,0.7352350509598078
SST,-20.58541463091549,1.5625451581819816e-71,1.299646935317863e-68,-1.5636108220010534,-0.4834000626156001,0.7613129906001794,20.58541463091549,1.5636108220010534,0.21498472546655023,10.029962539672852,0.0,-0.37113420994092783,0.94,0.48582345868392446,6,0.7209601254562088
MAFF,18.163866430365882,2.3924522201890463e-59,2.5135858536533548e-57,1.3667517263638977,0.44217357216288933,-0.696384859294861,18.163866430365882,1.3667517263638977,0.19325764413553204,24.13874053955078,0.07028306796762832,-0.3233692356843636,1.0,0.5572154827359495,6,0.7101713355607907
ZFP36L1,20.519577382465396,9.486707531990327e-72,8.60789344334504e-69,1.5417370142026279,0.47909320448412746,-0.7545300642049674,20.519577382465396,1.5417370142026279,0.2184692872367049,10.134570121765137,0.0,0.0,0.84,0.4682064674484567,4,0.7099891727590378
CD200,-20.165426179161837,3.2834887317703595e-72,4.287580382068653e-69,-1.4112659829167784,-0.4519913555154332,0.7118470128675067,20.165426179161837,1.4112659829167784,0.2270084678098494,2.70688533782959,0.0,0.0,1.0,0.4832323272166387,4,0.6989255872613677
NRXN3,-20.58953794442547,9.891797311691862e-75,2.4682507241999118e-71,-1.4245972522185295,-0.4548740774049367,0.7163870487352983,20.58953794442547,1.4245972522185295,0.21996505720965454,0.0,0.0,0.0,0.98,0.4540344622490756,4,0.6909008934633486
CA10,-19.901985223713215,7.804505222339783e-69,3.7093698392463516e-66,-1.4834354182279332,-0.46728563051189037,0.7359341637330117,19.901985223713215,1.4834354182279332,0.24072263426396612,3.635524272918701,0.0,0.0,1.0,0.44190265553301644,4,0.6862879683098546
MLLT11,-20.21814806457118,1.2852727653008671e-72,2.5656614940935913e-69,-1.400414453490151,-0.44962535942012266,0.7081207751146186,20.21814806457118,1.400414453490151,0.21599267372633335,15.138352394104004,0.0,0.0,0.8,0.44723978731232633,4,0.6819439684672574
SLC35B1,-18.91502644078025,5.459933014332987e-65,1.4340945109488827e-62,-1.344299223895752,-0.4371081605065741,0.6884072771741141,18.91502644078025,1.344299223895752,0.1913442729246373,13.442615509033203,0.0,-0.32147360492351695,1.0,0.4797907157423189,5,0.6791564387219344
