gene,importance,std
SAFB2,0.019959404600811904,0.006316249278892864
VGF,0.019824086603518264,0.0058245713889921325
SLC35B1,0.018944519621109594,0.005595689615192232
GFAP,0.018403247631935033,0.005842228185364779
EGR1,0.01786197564276047,0.006105826345157487
PTPRN2,0.015696887686062238,0.004455230753221729
MLLT11,0.013937753721244917,0.005260024824242689
CA10,0.011231393775372111,0.0053463454032850926
KCNF1,0.009945872801082523,0.0038814098807208397
MAST3,0.00906630581867387,0.0031181917785664203
AFF1,0.007645466847090654,0.003535789615819751
LSM4,0.00757780784844383,0.004536685957845805
LANCL2,0.006968876860622447,0.002505210904137158
ITPKB,0.0060893098782138,0.002439479888676583
SST,0.006021650879566959,0.002688540796523079
NEUROD6,0.005751014884979699,0.0016503803677470315
PRKCZ,0.005751014884979688,0.0027021279496232562
NCALD,0.0056833558863328745,0.002658576820620907
MAFF,0.0055480378890392255,0.003942842296166035
ZFP36L1,0.005209742895805119,0.0018292971359399081
NRXN3,0.0051420838971583,0.0020787945190442942
PPP1R7,0.004939106901217844,0.003210061208193897
DUSP4,0.004871447902571008,0.001884761607196783
KLF15,0.004668470906630568,0.002283428556249835
CD200,0.0046684709066305615,0.0016280391631280228
PPEF1,0.004533152909336929,0.001829297135939904
CRYM,0.003653585926928249,0.002011646650516713
NRN1,0.003179972936400516,0.00172629916402884
ATP5C1,0.0030446549391068612,0.0015354270254276249
CCKBR,0.0025033829499323036,0.001154176056104988
