,ITPKB,NRN1,PPP1R7,NEUROD6,PPEF1,DUSP4,GFAP,SST,MAFF,ZFP36L1,CD200,NRXN3,CA10,MLLT11,SLC35B1,SAFB2,MAST3,EGR1,CRYM,KCNF1,VGF,LANCL2,NCALD,KLF15,LSM4,PRKCZ,PTPRN2,CCKBR,ATP5C1,AFF1
ITPKB,0.0,0.0003142807865515358,-0.00037479097954928875,0.00015287557616829907,-0.00016038729809224588,-9.303928818553669e-05,0.001506056054495275,0.00044112333562225034,0.0002426036400720484,0.0007016805466264486,-3.2000942155717936e-05,0.0008614740800112486,-5.714050494134461e-05,0.0005423526978120211,0.0008708643727004545,-1.1296174488960656e-05,0.00016395435668528115,0.0009263579733669747,0.00011932037305086886,0.001768146175891161,0.0013844960602000383,-3.8774963468313044e-05,0.000514711509458721,6.868324708193558e-05,0.00048352878075093135,0.002201932715252042,-0.0004628314869478342,0.0006597250699996969,8.468749001623935e-07,0.0014809057582169764
NRN1,0.0003142807865515358,0.0,0.0005520819686353207,0.0005278700031340119,0.0006764622405171393,-9.269516449421627e-05,0.0016566055826842795,0.0017886854708194736,-0.0003524442203342911,0.0008248074911534793,0.0009120180737227203,0.0008068950381129973,0.0007870272034779186,0.0009310110704973344,0.002563425642438232,0.00048186297062784503,-0.000182802695780992,0.0010817838367074735,-0.0003343449207022786,0.0012308713048696518,0.0013844814850017435,-7.543992251157782e-05,0.0003047180362045765,1.9371509552001953e-07,4.049406852573226e-05,0.0027415016898885373,-0.0005061262752860784,0.0008956426987424514,0.001672511384822428,0.0011229956522583982
PPP1R7,-0.00037479097954928875,0.0005520819686353207,0.0,0.00023392748553305862,0.00022231186740100388,7.039168849589175e-07,0.0003773666918277744,-5.099892150610755e-05,-0.00035256100818514824,0.00040625419933348894,4.422361962497321e-06,2.596883568912675e-05,0.00020347959361970418,0.00023334489669650776,-0.000130219431594014,-0.00021209707483649254,0.00010814869310706845,-4.145766142755764e-05,-0.00021216303575783966,-0.0001720248488709334,6.627121474593947e-05,-0.0005266649415716536,-6.432537920773038e-05,0.00012950892560184015,-0.0002022457309067249,-0.00040947445668280177,0.0001160051440820091,-0.0003451450495049347,0.0002957978518679738,-5.546165630221367e-05
NEUROD6,0.00015287557616829907,0.0005278700031340119,0.00023392748553305862,0.0,8.361914660781617e-05,0.0004928440786898137,0.0007033210247755061,0.001030136877670884,7.13946763426065e-05,0.0007587560219690205,0.00012063316535204644,0.0003667670069262387,0.00028901954647153616,0.0005507674301043156,0.001805724715813993,0.0007005468942224979,0.0002303397282958032,8.15840205177663e-05,0.0005281455116346479,5.553315859287925e-05,0.0007528366986662149,0.001162794721312821,0.0004240696318447588,-3.0862912535667246e-05,0.0005732737714424728,0.0004531649639829983,0.000332103343680501,0.0008189543848857294,0.00041931790765374903,0.0013405393110588193
PPEF1,-0.00016038729809224588,0.0006764622405171393,0.00022231186740100388,8.361914660781617e-05,0.0,-0.00025010302197188156,0.00048558772541582636,0.0007457191590219733,0.00018478217534720906,5.23161375895146e-05,0.00034287751186639053,0.00031556147150695307,-9.798847604542988e-05,0.0005431431811302907,0.0004639961989596486,-4.2687985114753246e-05,0.00018211596179753533,-0.0003928941674530505,-0.0003363771829754114,6.624285597354139e-05,-0.0007441910682246082,-0.0009278876939788454,-0.0005822117440402509,0.00031519653275609023,-0.0002304241526871919,-0.00011706121731549536,1.1261622421443636e-05,-0.00030351968016475474,0.0009940560907125474,0.0001709085656329979
DUSP4,-9.303928818553669e-05,-9.269516449421627e-05,7.039168849589175e-07,0.0004928440786898137,-0.00025010302197188156,0.0,-0.0003695980878546832,0.00012085433118045295,-0.00017134600784629583,0.00019161226227879576,-0.00040712682530283937,-0.00010760051663965013,-0.00016864973586052648,-0.00010321128647774449,0.0004019019426777957,0.00019240858964622012,-0.0002748921047896147,-0.0002697951626032596,-2.4009030312299295e-06,-0.0003442092798650268,7.667073514312783e-05,0.0015005554538220162,0.001058572414331138,-8.464136626571404e-05,0.00028369307983666664,-0.0008024609414860615,8.508989121764916e-05,-0.0008467834442853917,-0.000704380590468645,0.0007928131846711046
GFAP,0.001506056054495275,0.0016566055826842795,0.0003773666918277744,0.0007033210247755061,0.00048558772541582636,-0.0003695980878546832,0.0,0.0023124730447307215,-0.00028903225902467914,0.001483879424631596,0.0006623175460845239,0.0017177791800349947,0.0005919223185628653,0.0012097908649593599,0.0011276010889560012,-0.0005313580390065905,0.0006047313101589669,0.001402997015975415,-0.0013082426507025954,0.0016243502497673042,0.0015474681509658715,-0.0018356277141720054,-0.0009419496404007074,6.191909778863192e-05,0.0002578448271378878,0.003179590823128818,-0.0012392835924401875,0.0018209387548267855,0.0009886005194857722,0.0020331675652414567
SST,0.00044112333562225034,0.0017886854708194736,-5.099892150610755e-05,0.001030136877670884,0.0007457191590219733,0.00012085433118045295,0.0023124730447307215,0.0,-0.00014599841088056616,0.0012918529333546761,0.00028648285660892725,0.0018157155485823747,0.0005807950161397452,0.0021131879184395075,0.0030301300343126072,-0.0006754349917173393,0.0004663003841415044,0.001671300479210911,-0.00013997326605021988,0.0014546205522492518,0.002786660217680037,-0.0002056057332083588,0.000506808026693761,0.00022764750756323286,-0.00021931966766715067,0.0022168325027450905,-0.00025906281080097,0.0009758857078850242,0.0016406889772042623,0.002030001184903086
MAFF,0.0002426036400720484,-0.0003524442203342911,-0.00035256100818514824,7.13946763426065e-05,0.00018478217534720906,-0.00017134600784629583,-0.00028903225902467914,-0.00014599841088056616,0.0,-0.00017248736694455095,-7.599624805152425e-05,0.00022845892235636746,-0.0003898715600371364,-3.1261262483894305e-05,0.0004123434191569686,-1.5092850662767627e-05,-0.0001605090918019415,-0.00023405426181852826,0.0003098308108747005,-8.243606425821764e-05,-0.0007458579959347851,0.0004635469056665899,3.6373338662087874e-05,-0.00025909503456205123,0.00027352995239198207,8.93647316843266e-05,0.00019656021613627655,-0.00019278149120509694,-0.0002561589470133185,6.729071028530563e-05
ZFP36L1,0.0007016805466264486,0.0008248074911534793,0.00040625419933348894,0.0007587560219690205,5.23161375895146e-05,0.00019161226227879576,0.001483879424631596,0.0012918529333546761,-0.00017248736694455095,0.0,0.0002924328669905666,0.0008028847398236401,0.0003277364652603861,0.000559822772629559,0.0013298112899065035,0.0005300941178575155,-0.00036530017387121846,0.0010192263405770056,-0.000297491904348135,0.00028716831002384424,0.0014751563081517836,0.00028454205021262186,-0.0001325021730735898,0.00015244274400174652,-0.000501570128835737,0.001999935158528388,-0.0004479353083297606,0.0003251135116443052,0.0005755835445597768,0.0014669127995148301
CD200,-3.2000942155717936e-05,0.0009120180737227203,4.422361962497321e-06,0.00012063316535204644,0.00034287751186639053,-0.00040712682530283937,0.0006623175460845239,0.00028648285660892725,-7.599624805152425e-05,0.0002924328669905666,0.0,0.0002713908674195414,0.00021215958986431339,0.000790519313886762,0.001392176537774504,-0.0002740834373980757,0.0006567529868334531,0.0003726748283952473,-9.025742765516047e-05,-0.0001039200229570273,-0.0003101742826402201,-0.0006671988172456626,-0.00017004716210067272,0.00029009585268795495,-0.00021961377933621407,0.00016238025855272974,0.00036152987740933895,0.000353236845694483,0.0011547483969479798,-0.0003645221004262584
NRXN3,0.0008614740800112486,0.0008068950381129973,2.596883568912675e-05,0.0003667670069262387,0.00031556147150695307,-0.00010760051663965013,0.0017177791800349947,0.0018157155485823747,0.00022845892235636746,0.0008028847398236401,0.0002713908674195414,0.0,-8.200251031666985e-05,0.0011587711749598394,0.0005569225409999476,-1.8480257131159653e-05,0.0005793118849396709,0.0008462093072012077,-1.1877855286002159e-05,0.0031069584889337424,0.002214145334437489,-0.0007098965579643846,0.0004227432422339913,0.0001063525676727288,0.0005398921202868223,0.0033660855842754245,-0.00047042849473655224,0.0023766942555084845,0.0007681248942390086,0.001988975028507412
CA10,-5.714050494134461e-05,0.0007870272034779186,0.00020347959361970418,0.00028901954647153616,-9.798847604542988e-05,-0.00016864973586052648,0.0005919223185628653,0.0005807950161397452,-0.0003898715600371364,0.0003277364652603861,0.00021215958986431339,-8.200251031666985e-05,0.0,0.0004153745481744412,0.0016901099355891352,0.0003955700201913716,-0.00025666307192295795,-0.00014414747711271117,-0.00017025747802108533,-0.000424905796535314,-0.0006686104228720048,-0.0005951220868155365,0.00022117043845355528,0.00029760811012238266,-0.00027227629907429214,-0.0005538111319765456,-9.191001299768686e-05,-0.0005248176166787744,0.00034229038283228874,0.00041726373601704697
MLLT11,0.0005423526978120211,0.0009310110704973344,0.00023334489669650776,0.0005507674301043156,0.0005431431811302907,-0.00010321128647774449,0.0012097908649593599,0.0021131879184395075,-3.1261262483894305e-05,0.000559822772629559,0.000790519313886762,0.0011587711749598394,0.0004153745481744412,0.0,0.0023207791149616255,0.00017511546611785958,0.00018676938489079527,0.0009938010713085518,-6.286541465669836e-05,0.001056230231188237,0.0011724002892151489,-0.0001965454546734688,-0.00011426280252635479,0.00032801101915538346,0.00016354506369680236,0.0022828963585197933,-0.00010308395139872994,0.0015318921534344578,0.001337753864936531,0.0010331475874409066
SLC35B1,0.0008708643727004545,0.002563425642438232,-0.000130219431594014,0.001805724715813993,0.0004639961989596486,0.0004019019426777957,0.0011276010889560012,0.0030301300343126072,0.0004123434191569686,0.0013298112899065035,0.001392176537774504,0.0005569225409999476,0.0016901099355891352,0.0023207791149616255,0.0,-0.00021814017090946575,0.00012263224925845861,0.00193777836393565,0.0003115000901743768,-0.00017937661614269088,0.0004690740490332253,0.0032220870489254594,0.0006354445591568933,0.0003622712567448623,4.301129374653136e-05,0.0011154144071042552,0.0001700534718111161,0.0005478338105604046,0.0038980904035270207,0.0024949522688984885
SAFB2,-1.1296174488960656e-05,0.00048186297062784503,-0.00021209707483649254,0.0007005468942224979,-4.2687985114753246e-05,0.00019240858964622012,-0.0005313580390065905,-0.0006754349917173393,-1.5092850662767627e-05,0.0005300941178575155,-0.0002740834373980757,-1.8480257131159653e-05,0.0003955700201913716,0.00017511546611785958,-0.00021814017090946575,0.0,-0.00019223371054977179,-0.00011425279080867767,-1.4480878598988143e-05,0.0001007376005873091,0.0006344976369291565,0.00023999128025025112,0.00040025636553764343,0.00023536807857453806,0.0008377055171877143,-0.0011089505860581994,-0.00042377368081361047,-0.0009239261737093319,0.00024580168537795526,0.0009679852752014998
MAST3,0.00016395435668528115,-0.000182802695780992,0.00010814869310706845,0.0002303397282958032,0.00018211596179753533,-0.0002748921047896147,0.0006047313101589669,0.0004663003841415044,-0.0001605090918019415,-0.00036530017387121846,0.0006567529868334531,0.0005793118849396709,-0.00025666307192295795,0.00018676938489079527,0.00012263224925845861,-0.00019223371054977179,0.0,0.0007951467530801894,-0.0004948471440002323,0.0011170531157404188,-5.7712080888450146e-05,0.00031331798527389765,-0.0007470482494682071,-0.00028822734020650387,0.0002914545824751259,0.0026189094642177207,-0.00017689594533294413,0.0008403110085055225,0.000677172769792378,0.00019900638144463266
EGR1,0.0009263579733669747,0.0010817838367074735,-4.145766142755764e-05,8.15840205177663e-05,-0.0003928941674530505,-0.0002697951626032596,0.001402997015975415,0.001671300479210911,-0.00023405426181852826,0.0010192263405770056,0.0003726748283952473,0.0008462093072012077,-0.00014414747711271117,0.0009938010713085518,0.00193777836393565,-0.00011425279080867767,0.0007951467530801894,0.0,1.3282801955938166e-05,0.0006748921005055308,-0.0005232651485130163,-0.0005613478599116209,-0.00012055772822350177,0.00028911593835800886,0.0010679608909413222,0.003682202287018297,-0.0003712390316650273,0.0017726732650771744,-0.00019846044015139376,0.0017992042703554034
CRYM,0.00011932037305086886,-0.0003343449207022786,-0.00021216303575783966,0.0005281455116346479,-0.0003363771829754114,-2.4009030312299295e-06,-0.0013082426507025954,-0.00013997326605021988,0.0003098308108747005,-0.000297491904348135,-9.025742765516047e-05,-1.1877855286002159e-05,-0.00017025747802108533,-6.286541465669836e-05,0.0003115000901743768,-1.4480878598988143e-05,-0.0004948471440002323,1.3282801955938166e-05,0.0,-0.00030885222367942316,-0.00028686574660241604,0.0005352545995265245,0.0012683216482400894,2.2209016606211662e-05,2.8296071104705377e-05,-0.0009947370504960421,0.0010652017081156373,0.0001989823300391439,-0.0008973867865279316,-0.00036439490504562924
KCNF1,0.001768146175891161,0.0012308713048696518,-0.0001720248488709334,5.553315859287925e-05,6.624285597354139e-05,-0.0003442092798650268,0.0016243502497673042,0.0014546205522492518,-8.243606425821764e-05,0.00028716831002384424,-0.0001039200229570273,0.0031069584889337424,-0.000424905796535314,0.001056230231188237,-0.00017937661614269088,0.0001007376005873091,0.0011170531157404188,0.0006748921005055308,-0.00030885222367942316,0.0,0.0019683054182678475,0.0004439048236235973,0.003243451123125851,0.0004947802517563105,0.0015571478754281996,0.0036370470887050026,-0.00011261748149991044,0.0036104722646996407,-9.815278463065798e-06,0.003058387991040943
