Gene,Weight
CCKBR,0.03554427996277809
LANCL2,0.035279177129268646
SLC35B1,0.03491276130080223
ITPKB,0.0347132533788681
SST,0.03463860601186752
NEUROD6,0.03426609933376312
ATP5C1,0.03415568917989731
DUSP4,0.03411220759153366
PPEF1,0.03407944738864899
VGF,0.0339374877512455
PPP1R7,0.03376932442188263
PRKCZ,0.033716052770614624
CA10,0.0337056890130043
NCALD,0.03368232399225235
AFF1,0.033486682921648026
MAST3,0.03341652825474739
ZFP36L1,0.03317560628056526
LSM4,0.03311571106314659
PTPRN2,0.033062804490327835
NRN1,0.03304352983832359
MAFF,0.03291323781013489
EGR1,0.032461296766996384
NRXN3,0.032453496009111404
KLF15,0.03233693912625313
KCNF1,0.03222151845693588
CD200,0.03204584866762161
CRYM,0.03187590837478638
MLLT11,0.031851183623075485
GFAP,0.03121579997241497
SAFB2,0.03081146813929081
